
VENDOR                                                                                                                                                                                                    ,ADDRESS                                                                                                        ,SECOND ADDRESS                                              ,CITY                                                        ,ZIP  ,COUNTY                                                      ,LATITUDE               ,LONGITUDE
"SMART & FINAL #444"                                                                                                                                                                                      ,4550 W PICO BLVD STE D303                                                                                      ,                                                            ,Los Angeles                                                 ,90019,Los Angeles                                                 ,34.04787               ,-118.3356
"SMART & FINAL #323"                                                                                                                                                                                      ,2040 GLENOAKS BLVD                                                                                             ,                                                            ,San Fernando                                                ,91340,Los Angeles                                                 ,34.29857               ,-118.4387
"SMART & FINAL #317"                                                                                                                                                                                      ,15427 AMAR RD                                                                                                  ,                                                            ,La Puente                                                   ,91744,Los Angeles                                                 ,34.0377                ,-117.9489
"SMART & FINAL #716"                                                                                                                                                                                      ,13003 WHITTIER BLVD                                                                                            ,                                                            ,Whittier                                                    ,90602,Los Angeles                                                 ,33.96683               ,-118.0367
"SMART & FINAL #434"                                                                                                                                                                                      ,644 REDONDO AVE                                                                                                ,                                                            ,Long Beach                                                  ,90814,Los Angeles                                                 ,33.77458               ,-118.1519
"SMART & FINAL #727"                                                                                                                                                                                      ,280 E COMPTON BLVD                                                                                             ,                                                            ,Compton                                                     ,90220,Los Angeles                                                 ,33.89454               ,-118.221
"SMART & FINAL #938"                                                                                                                                                                                      ,1516 S PACIFIC COAST HWY                                                                                       ,                                                            ,Redondo Beach                                               ,90277,Los Angeles                                                 ,33.82082               ,-118.3843
"SMART & FINAL #921"                                                                                                                                                                                      ,615 N PACIFIC COAST HWY                                                                                        ,                                                            ,Redondo Beach                                               ,90277,Los Angeles                                                 ,33.8519                ,-118.3904
"SMART & FINAL #920"                                                                                                                                                                                      ,5038 W AVENUE N                                                                                                ,                                                            ,Palmdale                                                    ,93551,Los Angeles                                                 ,34.62945               ,-118.2204
"SMART & FINAL #942"                                                                                                                                                                                      ,240 S DIAMOND BAR BLVD                                                                                         ,                                                            ,Diamond Bar                                                 ,91765,Los Angeles                                                 ,34.02187               ,-117.8092
"SMART & FINAL #923"                                                                                                                                                                                      ,1636 W 25TH ST                                                                                                 ,                                                            ,San Pedro                                                   ,90732,Los Angeles                                                 ,33.72402               ,-118.3136
"SMART & FINAL #746"                                                                                                                                                                                      ,1193 HUNTINGTON DR                                                                                             ,                                                            ,Duarte                                                      ,91010,Los Angeles                                                 ,34.13972               ,-117.9786
"SMART & FINAL #941"                                                                                                                                                                                      ,3830 W VERDUGO AVE                                                                                             ,                                                            ,Burbank                                                     ,91505,Los Angeles                                                 ,34.1599                ,-118.3452
"SMART & FINAL #735"                                                                                                                                                                                      ,1833 S LA CIENEGA BLVD                                                                                         ,                                                            ,Los Angeles                                                 ,90035,Los Angeles                                                 ,34.04363               ,-118.377
"SMART & FINAL #484"                                                                                                                                                                                      ,845 S FIGUEROA ST STE 100                                                                                      ,                                                            ,Los Angeles                                                 ,90017,Los Angeles                                                 ,34.04757               ,-118.2628
"SMART & FINAL #817"                                                                                                                                                                                      ,17500 CRENSHAW BLVD                                                                                            ,                                                            ,Torrance                                                    ,90504,Los Angeles                                                 ,33.87185               ,-118.3256
"SMART & FINAL #794"                                                                                                                                                                                      ,303 E FOOTHILL BLVD                                                                                            ,                                                            ,Azusa                                                       ,91702,Los Angeles                                                 ,34.13446               ,-117.9046
"SMART & FINAL #745"                                                                                                                                                                                      ,4480 ATLANTIC AVE                                                                                              ,                                                            ,Long Beach                                                  ,90807,Los Angeles                                                 ,33.83927               ,-118.1844
"SMART & FINAL #790"                                                                                                                                                                                      ,3111 E FLORENCE AVE                                                                                            ,                                                            ,Huntington Park                                             ,90255,Los Angeles                                                 ,33.97333               ,-118.2115
"SMART & FINAL #313"                                                                                                                                                                                      ,630 N EUCLID ST                                                                                                ,                                                            ,Anaheim                                                     ,92801,Orange                                                      ,33.84031               ,-117.9401
"SMART & FINAL #388"                                                                                                                                                                                      ,1401 E KATELLA AVE                                                                                             ,                                                            ,Orange                                                      ,92867,Orange                                                      ,33.81005               ,-117.839
"SMART & FINAL #422"                                                                                                                                                                                      ,1941 W IMPERIAL HWY                                                                                            ,                                                            ,La Habra                                                    ,90631,Orange                                                      ,33.91864               ,-117.9666
"SMART & FINAL #423"                                                                                                                                                                                      ,9062 ADAMS AVE                                                                                                 ,                                                            ,Huntington Beach                                            ,92646,Orange                                                      ,33.67163               ,-117.9699
"SMART & FINAL #425"                                                                                                                                                                                      ,2475 E CHAPMAN AVE                                                                                             ,                                                            ,Fullerton                                                   ,92831,Orange                                                      ,33.87467               ,-117.8878
"SMART & FINAL #399"                                                                                                                                                                                      ,34091 DOHENY PARK RD                                                                                           ,                                                            ,Capistrano Beach                                            ,92624,Orange                                                      ,33.46782               ,-117.678
"SMART & FINAL #383"                                                                                                                                                                                      ,23631 EL TORO RD STE A                                                                                         ,                                                            ,Lake Forest                                                 ,92630,Orange                                                      ,33.62107               ,-117.7041
"SMART & FINAL #382"                                                                                                                                                                                      ,6882 EDINGER AVE                                                                                               ,                                                            ,Huntington Beach                                            ,92647,Orange                                                      ,33.7286                ,-118.0089
"SMART & FINAL #375"                                                                                                                                                                                      ,14417 CULVER DR                                                                                                ,                                                            ,Irvine                                                      ,92604,Orange                                                      ,33.70648               ,-117.7873
"SMART & FINAL #594"                                                                                                                                                                                      ,7050 KATELLA BLVD                                                                                              ,                                                            ,Stanton                                                     ,90680,Orange                                                      ,33.80203               ,-118.0097
"SMART & FINAL #381"                                                                                                                                                                                      ,7930 VALLEY VIEW ST                                                                                            ,                                                            ,Buena Park                                                  ,90620,Orange                                                      ,33.84706               ,-118.0267
"SMART & FINAL #389"                                                                                                                                                                                      ,707 W 19TH ST                                                                                                  ,                                                            ,Costa Mesa                                                  ,92627,Orange                                                      ,33.64278               ,-117.9283
"SMART & FINAL #519"                                                                                                                                                                                      ,1523 W. 17TH ST                                                                                                ,                                                            ,Santa Ana                                                   ,92706,Orange                                                      ,33.76131               ,-117.8893
"SMART & FINAL #592"                                                                                                                                                                                      ,8956 WARNER WAY                                                                                                ,                                                            ,Fountain Valley                                             ,92708,Orange                                                      ,33.71464               ,-117.9728
"SMART & FINAL #580"                                                                                                                                                                                      ,1308 W EDINGER AVE                                                                                             ,                                                            ,Santa Ana                                                   ,92704,Orange                                                      ,33.72579               ,-117.8858
"SMART & FINAL #726"                                                                                                                                                                                      ,1114 IRVINE BLVD                                                                                               ,                                                            ,Tustin                                                      ,92780,Orange                                                      ,33.74698               ,-117.8102
"SMART & FINAL #713"                                                                                                                                                                                      ,26911 TRABUCO RD                                                                                               ,                                                            ,Mission Viejo                                               ,92691,Orange                                                      ,33.62087               ,-117.6595
"SMART & FINAL #737"                                                                                                                                                                                      ,26560 MOULTON PKWY                                                                                             ,                                                            ,Laguna Hills                                                ,92653,Orange                                                      ,33.57703               ,-117.7013
"SMART & FINAL #926"                                                                                                                                                                                      ,21672 PLANO TRABUCO RD                                                                                         ,                                                            ,Trabuco Canyon                                              ,92679,Orange                                                      ,33.64778               ,-117.5761
"SMART & FINAL #943"                                                                                                                                                                                      ,30252 CROWN VALLEY PKWY                                                                                        ,                                                            ,Laguna Niguel                                               ,92677,Orange                                                      ,33.5227                ,-117.7143
"SMART & FINAL #925"                                                                                                                                                                                      ,21500 YORBA LINDA BLVD                                                                                         ,                                                            ,Yorba Linda                                                 ,92887,Orange                                                      ,33.87742               ,-117.7526
"SMART & FINAL #490"                                                                                                                                                                                      ,79770 HIGHWAY 111                                                                                              ,                                                            ,La Quinta                                                   ,92253,Riverside                                                   ,33.70864               ,-116.2729
"SMART & FINAL #443"                                                                                                                                                                                      ,2525 W FLORIDA AVE                                                                                             ,                                                            ,Hemet                                                       ,92545,Riverside                                                   ,33.7459                ,-116.9984
"SMART & FINAL #340"                                                                                                                                                                                      ,760 N MAIN ST                                                                                                  ,                                                            ,Corona                                                      ,92880,Riverside                                                   ,33.89339               ,-117.5658
"SMART & FINAL #521"                                                                                                                                                                                      ,2744 CANYON SPRINGS PKWY                                                                                       ,                                                            ,Riverside                                                   ,92507,Riverside                                                   ,33.9415                ,-117.2804
"SMART & FINAL #316"                                                                                                                                                                                      ,3310 VINE ST                                                                                                   ,                                                            ,Box Springs                                                 ,92507,Riverside                                                   ,33.98344               ,-117.365
"SMART & FINAL #473"                                                                                                                                                                                      ,4039 TYLER ST                                                                                                  ,                                                            ,Riverside                                                   ,92503,Riverside                                                   ,33.91687               ,-117.465
"SMART & FINAL #331"                                                                                                                                                                                      ,2971 W RAMSEY ST                                                                                               ,                                                            ,Banning                                                     ,92220,Riverside                                                   ,33.92618               ,-116.9093
"SMART & FINAL #469"                                                                                                                                                                                      ,25060 MADISON AVE                                                                                              ,                                                            ,Murrieta                                                    ,92562,Riverside                                                   ,33.55864               ,-117.1999
"SMART & FINAL #429"                                                                                                                                                                                      ,5001 RAMON RD BLDG 4                                                                                           ,                                                            ,Palm Springs                                                ,92264,Riverside                                                   ,33.81439               ,-116.4917
"SMART & FINAL #514"                                                                                                                                                                                      ,5202 ARLINGTON AVE                                                                                             ,                                                            ,Riverside                                                   ,92504,Riverside                                                   ,33.94449               ,-117.4159
"SMART & FINAL #789"                                                                                                                                                                                      ,13346 LIMONITE AVE                                                                                             ,                                                            ,Eastvale                                                    ,92880,Riverside                                                   ,33.97666               ,-117.5743
"SMART & FINAL #719"                                                                                                                                                                                      ,25050 ALESSANDRO BLVD STE B                                                                                    ,                                                            ,Moreno Valley                                               ,92553,Riverside                                                   ,33.91854               ,-117.2253
"SMART & FINAL #454"                                                                                                                                                                                      ,701 E HOBSON WAY                                                                                               ,                                                            ,Blythe                                                      ,92225,Riverside                                                   ,33.61139               ,-114.589
"SMART & FINAL #944"                                                                                                                                                                                      ,72675 HIGHWAY 111                                                                                              ,                                                            ,Palm Desert                                                 ,92260,Riverside                                                   ,33.72025               ,-116.3965
"SMART & FINAL #705"                                                                                                                                                                                      ,928 E ONTARIO AVE                                                                                              ,                                                            ,Corona                                                      ,92881,Riverside                                                   ,33.85051               ,-117.5508
"SMART & FINAL #733"                                                                                                                                                                                      ,1023 N MT. VERNON AVE                                                                                          ,                                                            ,Colton                                                      ,92324,San Bernardino                                              ,34.07461               ,-117.3145
"SMART & FINAL #741"                                                                                                                                                                                      ,27550 BASELINE STREET                                                                                          ,                                                            ,Highland                                                    ,92346,San Bernardino                                              ,34.1222                ,-117.2039
"SMART & FINAL #408"                                                                                                                                                                                      ,1337 E 4TH ST                                                                                                  ,                                                            ,Ontario                                                     ,91764,San Bernardino                                              ,34.07903               ,-117.6274
"SMART & FINAL #353"                                                                                                                                                                                      ,17000 FOOTHILL BLVD                                                                                            ,                                                            ,Fontana                                                     ,92335,San Bernardino                                              ,34.10744               ,-117.433
"SMART & FINAL #494"                                                                                                                                                                                      ,12164 CENTRAL AVE                                                                                              ,                                                            ,Chino                                                       ,91710,San Bernardino                                              ,34.0328                ,-117.691
"SMART & FINAL #467"                                                                                                                                                                                      ,8675 BASELINE RD                                                                                               ,                                                            ,Cucamonga                                                   ,91730,San Bernardino                                              ,34.12021               ,-117.617
"SMART & FINAL #354"                                                                                                                                                                                      ,15111 BEAR VALLEY RD                                                                                           ,                                                            ,Hesperia                                                    ,92345,San Bernardino                                              ,34.46979               ,-117.3336
"SMART & FINAL #318"                                                                                                                                                                                      ,1720 W REDLANDS BLVD                                                                                           ,                                                            ,Redlands                                                    ,92373,San Bernardino                                              ,34.06357               ,-117.2133
"SMART & FINAL #707"                                                                                                                                                                                      ,1028 N MOUNTAIN AVE                                                                                            ,                                                            ,Upland                                                      ,91786,San Bernardino                                              ,34.10764               ,-117.6683
"SMART & FINAL #924"                                                                                                                                                                                      ,4200 CHINO HILLS PKWY                                                                                          ,                                                            ,Chino Hills                                                 ,91709,San Bernardino                                              ,33.98439               ,-117.7144
"SMART & FINAL #347"                                                                                                                                                                                      ,1220 PLAZA BLVD                                                                                                ,                                                            ,National City                                               ,91950,San Diego                                                   ,32.67604               ,-117.0936
"SMART & FINAL #463"                                                                                                                                                                                      ,3141 MAIN ST                                                                                                   ,                                                            ,Chula Vista                                                 ,91911,San Diego                                                   ,32.59385               ,-117.0659
"SMART & FINAL #368"                                                                                                                                                                                      ,5195 CLAIREMONT MESA BLVD                                                                                      ,                                                            ,San Diego                                                   ,92117,San Diego                                                   ,32.83339               ,-117.1795
"SMART & FINAL #398"                                                                                                                                                                                      ,1090 FLETCHER PKWY                                                                                             ,                                                            ,El Cajon                                                    ,92020,San Diego                                                   ,32.80817               ,-116.975
"SMART & FINAL #488"                                                                                                                                                                                      ,770 W SAN MARCOS BLVD                                                                                          ,                                                            ,San Marcos                                                  ,92078,San Diego                                                   ,33.13729               ,-117.181
"SMART & FINAL #464"                                                                                                                                                                                      ,2804 MIDWAY DR                                                                                                 ,                                                            ,San Diego                                                   ,92110,San Diego                                                   ,32.74915               ,-117.2036
"SMART & FINAL #360"                                                                                                                                                                                      ,395 N ESCONDIDO BLVD                                                                                           ,                                                            ,Escondido                                                   ,92025,San Diego                                                   ,33.12239               ,-117.0878
"SMART & FINAL #355"                                                                                                                                                                                      ,6235 EL CAJON BLVD                                                                                             ,                                                            ,San Diego                                                   ,92115,San Diego                                                   ,32.76238               ,-117.0635
"SMART & FINAL #378"                                                                                                                                                                                      ,720 15TH ST                                                                                                    ,                                                            ,San Diego                                                   ,92101,San Diego                                                   ,32.71293               ,-117.151
"SMART & FINAL #426"                                                                                                                                                                                      ,1737 OCEANSIDE BLVD                                                                                            ,                                                            ,Oceanside                                                   ,92054,San Diego                                                   ,33.18957               ,-117.3601
"SMART & FINAL #427"                                                                                                                                                                                      ,479 ENCINITAS BLVD                                                                                             ,                                                            ,Encinitas                                                   ,92024,San Diego                                                   ,33.04636               ,-117.2821
"SMART & FINAL #581"                                                                                                                                                                                      ,12339 POWAY RD                                                                                                 ,                                                            ,Poway                                                       ,92064,San Diego                                                   ,32.9508                ,-117.0637
"SMART & FINAL #718"                                                                                                                                                                                      ,49978 HARRISON ST                                                                                              ,                                                            ,Coachella                                                   ,92236,Riverside                                                   ,33.68624               ,-116.1803
"SMART & FINAL #725"                                                                                                                                                                                      ,933 SWEETWATER RD                                                                                              ,                                                            ,Spring Valley                                               ,91977,San Diego                                                   ,32.71267               ,-117.0109
"SMART & FINAL #599"                                                                                                                                                                                      ,1845 W VISTA WAY                                                                                               ,                                                            ,Vista                                                       ,92083,San Diego                                                   ,33.18911               ,-117.2811
"SMART & FINAL #935"                                                                                                                                                                                      ,150 B AVE                                                                                                      ,                                                            ,Coronado                                                    ,92118,San Diego                                                   ,32.69728               ,-117.1712
"SMART & FINAL #928"                                                                                                                                                                                      ,955 CARLSBAD VILLAGE DR                                                                                        ,                                                            ,Carlsbad                                                    ,92008,San Diego                                                   ,33.1618                ,-117.3435
"SMART & FINAL #932"                                                                                                                                                                                      ,10740 WESTVIEW PKWY                                                                                            ,                                                            ,San Diego                                                   ,92126,San Diego                                                   ,32.91546               ,-117.1223
"SMART & FINAL #936"                                                                                                                                                                                      ,360 EAST H. ST.                                                                                                ,                                                            ,Chula Vista                                                 ,91910,San Diego                                                   ,32.639                 ,-117.0509
